Date,Start (ET),away_team,away_pts,home_team,home_pts,Unnamed: 6,Unnamed: 7,Attend.,LOG,Arena,Notes,Season,home_win,home_rolling_pd,home_rolling_pf,home_rolling_pa,home_days_since_last,home_is_b2b,away_rolling_pd,away_rolling_pf,away_rolling_pa,away_days_since_last,away_is_b2b,pd_diff,pf_diff,pa_diff,rest_diff,b2b_diff
2014-10-30,8:30p,Utah Jazz,102,Dallas Mavericks,120,Box Score,,19697,2:06,American Airlines Center,,2015,1,-1.0,100.0,101.0,2.0,0,-11.0,93.0,104.0,1.0,1,10.0,7.0,-3.0,1.0,-1
2014-10-30,8:00p,Detroit Pistons,91,Minnesota Timberwolves,97,Box Score,,18296,2:11,Target Center,,2015,1,-4.0,101.0,105.0,1.0,1,-10.0,79.0,89.0,1.0,1,6.0,22.0,16.0,0.0,0
2014-10-30,7:00p,Washington Wizards,105,Orlando Magic,98,Box Score,,18846,2:21,Amway Center,,2015,0,-17.0,84.0,101.0,2.0,0,-12.0,95.0,107.0,1.0,1,-5.0,-11.0,-6.0,1.0,-1
2014-10-31,7:00p,Memphis Grizzlies,97,Indiana Pacers,89,Box Score,,14441,2:13,Bankers Life Fieldhouse,,2015,0,12.0,103.0,91.0,2.0,0,4.0,105.0,101.0,2.0,0,8.0,-2.0,-10.0,0.0,0
2014-10-31,8:00p,Cleveland Cavaliers,114,Chicago Bulls,108,Box Score,OT,22879,2:43,United Center,,2015,0,24.0,104.0,80.0,2.0,0,-5.0,90.0,95.0,1.0,1,29.0,14.0,-15.0,1.0,-1
2014-10-31,8:30p,Philadelphia 76ers,81,Milwaukee Bucks,93,Box Score,,18717,2:14,BMO Harris Bradley Center,,2015,1,-2.0,106.0,108.0,2.0,0,-12.0,91.0,103.0,2.0,0,10.0,15.0,5.0,0.0,0
2014-10-31,10:00p,San Antonio Spurs,89,Phoenix Suns,94,Box Score,,15050,2:17,US Airways Center,,2015,1,20.0,119.0,99.0,2.0,0,1.0,101.0,100.0,3.0,0,19.0,18.0,-1.0,-1.0,0
2014-10-31,10:00p,Portland Trail Blazers,94,Sacramento Kings,103,Box Score,,14648,2:26,Sleep Train Arena,,2015,1,-18.0,77.0,95.0,2.0,0,17.0,106.0,89.0,2.0,0,-35.0,-29.0,6.0,0.0,0
2014-10-31,10:30p,Los Angeles Clippers,118,Los Angeles Lakers,111,Box Score,,18997,2:33,STAPLES Center,,2015,0,-19.0,94.5,113.5,2.0,0,3.0,93.0,90.0,1.0,1,-22.0,1.5,23.5,1.0,-1
2015-10-27,10:30p,New Orleans Pelicans,95,Golden State Warriors,111,Box Score,,19596,2:24,Oracle Arena,,2016,1,18.0,95.0,77.0,363.0,0,17.0,101.0,84.0,364.0,0,1.0,-6.0,-7.0,-1.0,0
2015-10-27,8:00p,Cleveland Cavaliers,95,Chicago Bulls,97,Box Score,,21957,2:22,United Center,,2016,1,9.0,106.0,97.0,361.0,0,0.5,102.0,101.5,361.0,0,8.5,4.0,-4.5,0.0,0
2015-10-27,8:00p,Detroit Pistons,106,Atlanta Hawks,94,Box Score,,19187,2:10,Philips Arena,,2016,0,-7.0,102.0,109.0,363.0,0,-8.0,85.0,93.0,362.0,0,1.0,17.0,16.0,1.0,0
2015-10-28,8:00p,Cleveland Cavaliers,106,Memphis Grizzlies,76,Box Score,,18119,2:07,FedEx Forum,,2016,0,6.0,101.0,95.0,362.0,0,-0.3333333333333333,99.66666666666667,100.0,1.0,1,6.333333333333333,1.3333333333333286,-5.0,361.0,-1
2015-10-28,10:30p,Minnesota Timberwolves,112,Los Angeles Lakers,111,Box Score,,18997,2:35,STAPLES Center,,2016,0,-15.0,100.0,115.0,362.0,0,1.0,99.0,98.0,363.0,0,-16.0,1.0,17.0,-1.0,0
2015-10-28,10:00p,New Orleans Pelicans,94,Portland Trail Blazers,112,Box Score,,19393,2:06,Moda Center,,2016,1,4.0,100.0,96.0,362.0,0,0.5,98.0,97.5,1.0,1,3.5,2.0,-1.5,361.0,-1
2015-10-28,10:00p,Dallas Mavericks,111,Phoenix Suns,95,Box Score,,18055,2:21,Talking Stick Resort Arena,,2016,0,12.5,106.5,94.0,362.0,0,8.5,110.0,101.5,363.0,0,4.0,-3.5,-7.5,-1.0,0
2015-10-28,8:00p,Denver Nuggets,105,Houston Rockets,85,Box Score,,18240,2:12,Toyota Center,,2016,0,14.5,106.0,91.5,364.0,0,10.0,89.0,79.0,364.0,0,4.5,17.0,12.5,0.0,0
2015-10-28,8:00p,San Antonio Spurs,106,Oklahoma City Thunder,112,Box Score,,18203,2:19,Chesapeake Energy Arena,,2016,1,-10.0,89.5,99.5,363.0,0,-2.0,95.0,97.0,362.0,0,-8.0,-5.5,2.5,1.0,0
2015-10-28,10:00p,Los Angeles Clippers,111,Sacramento Kings,104,Box Score,,17458,2:19,Sleep Train Arena,,2016,0,-4.5,90.0,94.5,362.0,0,5.0,105.5,100.5,362.0,0,-9.5,-15.5,-6.0,0.0,0
2015-10-28,7:30p,Charlotte Hornets,94,Miami Heat,104,Box Score,,19724,2:19,AmericanAirlines Arena,,2016,1,12.0,107.0,95.0,364.0,0,2.0,108.0,106.0,364.0,0,10.0,-1.0,-11.0,0.0,0
2015-10-28,7:30p,Indiana Pacers,99,Toronto Raptors,106,Box Score,,19800,2:34,Air Canada Centre,,2016,1,7.0,109.0,102.0,364.0,0,2.0,96.0,94.0,362.0,0,5.0,13.0,8.0,2.0,0
2015-10-28,7:30p,Utah Jazz,87,Detroit Pistons,92,Box Score,,18434,2:18,The Palace of Auburn Hills,,2016,1,-1.3333333333333333,92.0,93.33333333333333,1.0,1,-14.5,97.5,112.0,363.0,0,13.166666666666666,-5.5,-18.66666666666667,-362.0,1
2015-10-28,7:30p,Chicago Bulls,115,Brooklyn Nets,100,Box Score,,17732,2:12,Barclays Center,,2016,0,-16.0,105.0,121.0,364.0,0,6.666666666666667,103.0,96.33333333333333,1.0,1,-22.666666666666668,2.0,24.66666666666667,363.0,-1
2015-10-28,7:30p,Philadelphia 76ers,95,Boston Celtics,112,Box Score,,18624,2:13,TD Garden,,2016,1,16.0,121.0,105.0,364.0,0,-12.0,86.0,98.0,362.0,0,28.0,35.0,7.0,2.0,0
2015-10-28,7:00p,Washington Wizards,88,Orlando Magic,87,Box Score,,18846,2:21,Amway Center,,2016,0,-12.0,91.0,103.0,363.0,0,-2.5,100.0,102.5,363.0,0,-9.5,-9.0,0.5,0.0,0
2015-10-28,8:00p,New York Knicks,122,Milwaukee Bucks,97,Box Score,,18717,2:20,BMO Harris Bradley Center,,2016,0,5.0,99.5,94.5,362.0,0,-9.5,87.5,97.0,363.0,0,14.5,12.0,-2.5,-1.0,0
