Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,LOG,Arena,Notes,Season
"Tue, Oct 28, 2014",8:00p,Orlando Magic,84,New Orleans Pelicans,101,Box Score,,17097,2:12,Smoothie King Center,,2015
"Tue, Oct 28, 2014",8:00p,Dallas Mavericks,100,San Antonio Spurs,101,Box Score,,19615,2:20,AT&T Center,,2015
"Tue, Oct 28, 2014",10:30p,Houston Rockets,108,Los Angeles Lakers,90,Box Score,,18997,2:46,STAPLES Center,,2015
"Wed, Oct 29, 2014",7:00p,Milwaukee Bucks,106,Charlotte Hornets,108,Box Score,OT,19439,2:34,Time Warner Cable Arena,,2015
"Wed, Oct 29, 2014",7:00p,Philadelphia 76ers,91,Indiana Pacers,103,Box Score,,18165,2:24,Bankers Life Fieldhouse,,2015
"Wed, Oct 29, 2014",7:30p,Atlanta Hawks,102,Toronto Raptors,109,Box Score,,19800,2:24,Air Canada Centre,,2015
"Wed, Oct 29, 2014",7:30p,Washington Wizards,95,Miami Heat,107,Box Score,,19744,2:14,AmericanAirlines Arena,,2015
"Wed, Oct 29, 2014",7:30p,Brooklyn Nets,105,Boston Celtics,121,Box Score,,18624,2:13,TD Garden,,2015
"Wed, Oct 29, 2014",8:00p,Chicago Bulls,104,New York Knicks,80,Box Score,,19812,2:12,Madison Square Garden (IV),,2015
"Wed, Oct 29, 2014",8:00p,Minnesota Timberwolves,101,Memphis Grizzlies,105,Box Score,,17731,2:16,FedEx Forum,,2015
"Wed, Oct 29, 2014",9:00p,Detroit Pistons,79,Denver Nuggets,89,Box Score,,17136,2:20,Pepsi Center,,2015
"Wed, Oct 29, 2014",9:00p,Houston Rockets,104,Utah Jazz,93,Box Score,,19911,2:03,EnergySolutions Arena,,2015
"Wed, Oct 29, 2014",10:00p,Los Angeles Lakers,99,Phoenix Suns,119,Box Score,,17523,2:10,US Airways Center,,2015
"Wed, Oct 29, 2014",10:00p,Golden State Warriors,95,Sacramento Kings,77,Box Score,,17317,2:27,Sleep Train Arena,,2015
"Wed, Oct 29, 2014",10:30p,Oklahoma City Thunder,89,Portland Trail Blazers,106,Box Score,,19441,2:21,Moda Center,,2015
"Thu, Oct 30, 2014",7:00p,Washington Wizards,105,Orlando Magic,98,Box Score,,18846,2:21,Amway Center,,2015
"Thu, Oct 30, 2014",8:00p,New York Knicks,95,Cleveland Cavaliers,90,Box Score,,20562,2:29,Quicken Loans Arena,,2015
